83,בי''ס שפירא
91,הרב גד מכלוף/שמואל לנדאו
92,האורזים/אורט
2,אהרונוביץ/השלושה
2,אזור התעשייה
3,קהילות יעקב/רבי יוסף צבי רימון
3,אזור התעשייה
4,מסוף הטייסים
4,מסוף רדינג/הורדה
5,מסוף הלוחמים/משרד הרישוי
5,ת. רכבת תל אביב
5,חזון אי''ש/האדמור מנדבורנא
5,אזור התעשייה
6א,ת. רכבת אוניברסיטה/איסוף
6,בית העלמין/חזון אי''ש
6,אזור התעשייה
6,מסוף הלוחמים/משרד הרישוי
6,חניון אגד/דן שומרון
6,חניון אגד/דן שומרון
7,מסוף וולפסון
7,ת. רכבת אוניברסיטה/הורדה
7,יהודה המכבי/דרך נמיר
7,בי''ח שיב''א/שדרות אהרון קציר
7,מסוף עתידים
8,קהילות יעקב/רבי יוסף צבי רימון
9,מסוף הטייסים
9,קריית חינוך
10,חניון אגד/דן שומרון
10,מסוף אזורי חן
12,המכללה למנהל/שושנה פרסיץ
14,מסוף הלוחמים/משרד הרישוי
14,קאנטרי דקל
16,בי''ח שיב''א/שדרות אהרון קציר
16,יוסף לוי/הכובשים
17,מסוף וולפסון
17,יוסף לוי/הכובשים
18,מסוף בית העלמין/הורדה
18,ת. רכבת תל אביב
18,מסוף אור יהודה
18,אזור התעשייה
19,מסוף כרמלית/הורדה
19,מסוף אבי האסירים
23,מסוף כורזין
24,מסוף קדמה
24,מסוף כרמלית/הכרמל
25,חניון אגד/דן שומרון
25,קלצ'קין
31,בית העלמין/חזון אי''ש
31,יוסף לוי/הכובשים
31,יוסף לוי/הכובשים
34,מסוף הלוחמים/משרד הרישוי
34,רכבת קריית אריה/חנה וסע
40,חניון אגד/דן שומרון
40,ת. רכבת אוניברסיטה/הורדה
41,מסוף הלוחמים/משרד הרישוי
41,ת. מרכזית פ''ת/רציפים עירוני
42,ת.רק''ל הקוממיות/דרך בגין
42,מסוף עתידים
43,בי''ח שיב''א/שדרות אהרון קציר
43,ת.רק''ל הקוממיות/דרך בגין
45,איצטדיון וינטר
45,ת. רכבת אוניברסיטה/הורדה
49,מסוף רדינג/הורדה
49א,מכללת לוינסקי/דרך נמיר
49,בית ספר בית יעקב/דרך מנחם בגין
51,ת.מרכזית תל אביב קומה 7/הורדה
51,ת. מרכזית פ''ת/רציפים עירוני
52,מסוף עתידים
52,ת.מרכזית תל אביב קומה 7/הורדה
57,איצטדיון וינטר
57,ת. רכבת אוניברסיטה/הורדה
60,מסוף עמידר
60,ת.מרכזית תל אביב קומה 7/הורדה
61,מסוף עמידר
61,מסוף עמידר
61,מסוף כרמלית/הורדה
61,מסוף כרמלית/הורדה
63,מסוף אלוף שדה
63,מסוף כרמלית/הורדה
65,בי''ח שיב''א/שדרות אהרון קציר
65,מסוף כרמלית/הורדה
65,מסוף כרמלית/הורדה
66,מסוף כרמלית/הורדה
66,ת. מרכזית פ''ת/רציפים עירוני
67,איצטדיון וינטר
67,קניון איילון
70,בי''ח שיב''א/שדרות אהרון קציר
70,ת. רכבת תל אביב
82,מסוף כרמלית/הורדה
82,בית רבקה
92,ת. מרכזית פ''ת/רציפים עירוני
92,ת. מרכזית פ''ת/רציפים עירוני
92,קניון איילון
92,קניון איילון
119,מסוף כרמלית/הורדה
119,מסוף אבי האסירים
140,ת.רק''ל הקוממיות/דרך בגין
140,אזור התעשייה
166,ת. רכבת תל אביב
166,דרך מנחם בגין/קופת חולים
250,ת. רכבת תל אביב
250,אליהו הנביא/מרים הנביאה
282,מסוף גולדה/הורדה
282,בית העלמין
292,דרך מנחם בגין/קופת חולים
292,קניון איילון
354,ת. מרכזית רמלה/הורדה
354,מגדל ויטה/דרך בן גוריון
910,בן זכאי/הרב הירש
912,ירושלים/בן זכאי
913,בן זכאי/יצחק גרשטנקורן
914,בירנבוים/הרב עוזיאל
915,בירנבוים/הרב עוזיאל
916,בן זכאי/הרב הירש
917,בן זכאי/הרב הירש
918,בן זכאי/הרב הירש
919,בן זכאי/הרב הירש
921,יצחק אלחנן/הכרמל
923,בן זכאי/הרב הירש
925,יצחק אלחנן/הכרמל
926,יצחק אלחנן/הכרמל
931,ביה''ס חורב/עוזיאל
932,ביה''ס אהל צביה/בן זומא
935,האדמור מנדבורנא/חזון אי''ש
936,האדמור מנדבורנא/חזון אי''ש
937,האדמור מנדבורנא/חזון אי''ש
938,ביה''ס אהל צביה/בן זומא
939,ביה''ס אהל צביה/בן זומא
904,בן זכאי/הרב הירש
940,ביה''ס אהל צביה/בן זומא
941,ביה''ס אהל צביה/בן זומא
942,ביה''ס אהל צביה/בן זומא
943,ביה''ח מעייני הישועה/הרב רבינוב
944,ביה''ח מעייני הישועה/הרב רבינוב
945,ביה''ח מעייני הישועה/הרב רבינוב
948,יצחק אלחנן/הכרמל
949,יצחק אלחנן/הכרמל
905,בן זכאי/הרב הירש
950,יצחק אלחנן/הכרמל
953,בן זכאי/יצחק גרשטנקורן
955,חזון אי''ש/האדמור מנדבורנא
906,בן זכאי/הרב הירש
907,בן זכאי/הרב הירש
912,דמשק אליעזר/האדמו''ר מויז'ניץ
913,חזון איש/נחמיה
914,יגאל אלון/הרב טייב
915,רבי עקיבא/הרב קוק
916,הרב זוננפלד/הרב עטיה
917,הרב ישראל אבו חצירא/הרב ברוט
918,נחמיה/חזון אי''ש
919,יגאל אלון/הרב טייב
902,רבי עקיבא/אליהו הנביא
920,רבי עקיבא/אליהו הנביא
921,יגאל אלון/הרב טייב
922,תיכון מזרחי/הרב מיימון
923,רבי עקיבא/רש''י
925,כהנמן/פוברסקי
926,הרב שך/דרך ז'בוטינסקי
930,רבי עקיבא/הראשונים
931,אברבנאל/הרב נורוק
933,אבן גבירול/הרב מיימון
936,רבי עקיבא/הראשונים
937,הרב צירלסון/ד''ר ברויאר
938,קהילות יעקב/רבי יוסף צבי רימון
941,ירושלים/בן זכאי
942,יגאל אלון/הרב טייב
944,ירושלים/בן זכאי
945,רבי עקיבא/הראשונים
948,קהילות יעקב/רבי יוסף צבי רימון
905,הרב ישראל אבו חצירא/הרב ברוט
950,קהילות יעקב/הר סיני
951,רבי עקיבא/הראשונים
954,קהילות יעקב/הר סיני
965,אבו חצירא/הרב פתאיה
907,הרב זוננפלד/הרב עטיה
418,מסוף בית העלמין/הורדה
418,מסוף אזורי חן
463,הרב שלמה גורן/מבטחים
463,מסוף רדינג/הורדה
466,מסוף רדינג/הורדה
466,משה סנה/אבשלום גיסין
58,מסוף כורזין
58,קניון איילון
125,ת.רק''ל הקוממיות/דרך בגין
125,קריית חינוך
1,שדרות מנחם בגין/כביש 7
12,קבוץ פלמחים מרכז
12,קבוץ פלמחים מרכז
12,עין הקורא/הרצל
12,עין הקורא/הרצל
15,חניון אגד
16,ת. רכבת רחובות/הורדה
16,המלך חסן השני/בוסי סנט ג'ורג
26,ת.רכבת מזכרת בתיה/הורדה
26,ת.רכבת מזכרת בתיה/הורדה
26,ת. רכבת רחובות/הורדה
27,ת. רכבת רחובות/הורדה
80,בית ספר מקווה ישראל
80,בית ספר לבנות בית רבקה
80,בית ספר לבנות בית רבקה
80,הרצל/הגליל
82,דוד אלעזר/ישראל שמיד
82א,דוד אלעזר/ישראל שמיד
82,המצלתיים/חומה ומגדל
82א,שדרות הציונות/אלימלך צמיר
82,שאול טשרניחובסקי/משה מזרחי
83,ת. מרכזית ראשל''צ
83,ת. רכבת תל אביב
85,נסיה/התעשיין
85,מסוף וולפסון
85,גורדון/הרצל
86,עוקשי/לוי אשכול
91,בית ספר דה שליט
92,ת. מרכזית רחובות/רציפים
94,שדרות הציונות/העצמאות
95,השיקמה/המצודה
95,קפלן/השבעה
144,מחנה בן עמי
144,חניון אגד/דן שומרון
163,ת. מרכזית ראשל''צ
163,ת.מרכזית תל אביב קומה 6/הורדה
164,חניון אגד
164,רכבת קריית אריה/חנה וסע
164,רכבת קריית אריה/חנה וסע
164,רכבת קריית אריה/חנה וסע
166,בי''ח שיב''א/שדרות אהרון קציר
166,ת. מרכזית רחובות/רציפים
201,ת. מרכזית רחובות/רציפים
201,יוסף לוי/הכובשים
201,יוסף לוי/הכובשים
204,ת. מרכזית רחובות/רציפים
204,דוד סחרוב/אברהם בר
226,מחנה תל נוף
227,מחנה תל נוף
249,ת. מרכזית רחובות/רציפים
249,ת. מרכזית רחובות/רציפים
249,מסוף משה ארנס/הורדה
249,מסוף משה ארנס/הורדה
274,קלצ'קין
795,משה שרת/מפרץ שלמה
273,בית עלמין/שדרות בן גוריון
273,מסוף רדינג/הורדה
6א,דרך סטלה מאריס/הבישוף חג'אר
6,שוק הפשפשים/קיבוץ גלויות
7,היכל התרבות/דרך השלום
7,ת. מרכזית המפרץ/הורדה
8,הרימונים/האורנים
9,טרומפלדור/מרכז זיו
9א,טרומפלדור/מרכז זיו
9א,טרומפלדור/מרכז זיו
10,חסן שוקרי/הנביאים
11,מרכזית הקריות
11,מרכזית הקריות
12,מרכזית הקריות
12,יקינטון/בגין
12,בית חולים כרמל/רנ''ק
12,ת. רכבת בת גלים
13,שדרות פנחס ספיר/שדרות הפלמ''ח
13,מרכזית הקריות
13,חסן שוקרי/הנביאים
14,העליה השניה/אלישע
14,רכבל/העלייה השנייה
14,חסן שוקרי/הנביאים
14,העליה השניה/אלישע
16,ת. מרכזית המפרץ/הורדה
16,רכבל/העלייה השנייה
17,טכניון/הנדסה אזרחית
17,ת. מרכזית חוף הכרמל/הורדה
17,ת. מרכזית חוף הכרמל/הורדה
18,חניון נווה שאנן
